date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:55:35	13/13	---M--	404	error ('Not%20Found')	text/plain	date:Tue,%2022%20Oct%202024%2022:55:45%20GMT	https://fixedappsolutions.deno.dev/robots.txt		(from )
23:55:35	19627/19627	---MCZ	200	added ('OK')	text/html	etag:W/d9333408	https://fixedappsolutions.deno.dev/	C:/My%20Web%20Sites/blockchain/fixedappsolutions.deno.dev/index.html	(from )
23:55:36	10358/10358	---M--	200	added ('OK')	image/png	etag:f94cf0c4	https://fixedappsolutions.deno.dev/favicon_io/apple-touch-icon.png	C:/My%20Web%20Sites/blockchain/fixedappsolutions.deno.dev/favicon_io/apple-touch-icon.png	(from https://fixedappsolutions.deno.dev/)
23:55:37	1180/1180	---M--	200	added ('OK')	image/png	etag:69dce73	https://fixedappsolutions.deno.dev/favicon_io/favicon-32x32.png	C:/My%20Web%20Sites/blockchain/fixedappsolutions.deno.dev/favicon_io/favicon-32x32.png	(from https://fixedappsolutions.deno.dev/)
23:55:37	547/547	---M--	200	added ('OK')	image/png	etag:c604f31d	https://fixedappsolutions.deno.dev/favicon_io/favicon-16x16.png	C:/My%20Web%20Sites/blockchain/fixedappsolutions.deno.dev/favicon_io/favicon-16x16.png	(from https://fixedappsolutions.deno.dev/)
23:55:38	263/263	---MCZ	200	added ('OK')	application/manifest+json	etag:W/dd867dfa	https://fixedappsolutions.deno.dev/favicon_io/site.webmanifest	C:/My%20Web%20Sites/blockchain/fixedappsolutions.deno.dev/favicon_io/site.webmanifest	(from https://fixedappsolutions.deno.dev/)
23:55:38	155567/155567	---MCZ	200	added ('OK')	text/css	etag:W/%2225faf-xFOpPymXikmUqHIlC710iXewShE%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/blockchain/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/css/bootstrap.min.css	(from https://fixedappsolutions.deno.dev/)
23:55:39	86659/86659	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/My%20Web%20Sites/blockchain/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://fixedappsolutions.deno.dev/)
23:55:40	13168/13168	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2022%20Oct%202024%2022:55:50%20GMT	https://kit.fontawesome.com/50b3f375f9.js	C:/My%20Web%20Sites/blockchain/kit.fontawesome.com/50b3f375f9.js	(from https://fixedappsolutions.deno.dev/)
23:55:41	14457/14457	---MCZ	200	added ('OK')	text/css	etag:W/5f52afd0	https://fixedappsolutions.deno.dev/assets/css/new.css	C:/My%20Web%20Sites/blockchain/fixedappsolutions.deno.dev/assets/css/new.css	(from https://fixedappsolutions.deno.dev/)
23:55:41	3960/3960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/a9048193	https://fixedappsolutions.deno.dev/assets/images/files/lugu-welet.svg	C:/My%20Web%20Sites/blockchain/fixedappsolutions.deno.dev/assets/images/files/lugu-welet.svg	(from https://fixedappsolutions.deno.dev/)
23:55:42	756/756	---MCZ	200	added ('OK')	image/svg+xml	etag:W/91384b19	https://fixedappsolutions.deno.dev/assets/images/files/hero-logo.svg	C:/My%20Web%20Sites/blockchain/fixedappsolutions.deno.dev/assets/images/files/hero-logo.svg	(from https://fixedappsolutions.deno.dev/)
23:55:42	58991/58991	---MCZ	200	added ('OK')	text/html	etag:W/ef061b09	https://fixedappsolutions.deno.dev/app/	C:/My%20Web%20Sites/blockchain/fixedappsolutions.deno.dev/app/index.html	(from https://fixedappsolutions.deno.dev/)
